iter	Passed	Remaining
180	681	3084
181	684	3076
182	687	3069
183	690	3062
184	693	3056
185	696	3048
186	699	3041
187	702	3035
188	705	3027
189	708	3019
190	710	3010
191	713	3001
192	715	2993
193	718	2986
194	721	2979
195	724	2971
196	726	2963
197	730	2957
198	733	2951
199	736	2944
200	738	2937
201	741	2929
202	744	2924
203	747	2918
204	750	2911
205	753	2904
206	756	2898
207	759	2892
208	762	2884
209	765	2878
210	768	2873
211	771	2865
212	773	2859
213	776	2853
214	779	2846
215	782	2839
216	784	2832
217	787	2826
218	790	2820
219	793	2814
220	796	2807
221	799	2800
222	801	2794
223	804	2787
224	807	2780
225	810	2774
226	813	2769
227	815	2762
228	818	2755
229	821	2749
230	824	2743
231	826	2737
232	829	2731
233	832	2726
234	835	2720
235	838	2715
236	841	2708
237	844	2702
238	847	2697
239	849	2690
240	852	2685
241	855	2679
242	858	2675
243	861	2669
244	864	2663
245	866	2656
246	869	2650
247	872	2646
248	875	2639
249	877	2633
250	880	2628
251	883	2623
252	886	2618
253	889	2613
254	892	2607
255	895	2601
256	897	2596
257	900	2590
258	903	2585
259	906	2580
260	909	2574
261	911	2568
262	915	2564
263	918	2559
264	921	2554
265	923	2548
266	926	2543
267	929	2538
268	932	2533
269	935	2528
270	938	2523
271	940	2518
272	943	2512
273	946	2507
274	949	2502
275	952	2497
276	955	2492
277	957	2487
278	960	2482
279	963	2478
280	966	2473
281	969	2469
282	972	2464
283	975	2459
284	978	2454
285	981	2449
286	984	2445
287	987	2440
288	990	2436
289	993	2432
290	996	2427
291	999	2423
292	1002	2418
293	1004	2412
294	1007	2407
295	1010	2403
296	1013	2399
297	1016	2394
298	1019	2389
299	1021	2384
300	1024	2378
301	1027	2374
302	1030	2369
303	1032	2364
304	1035	2359
305	1038	2355
306	1041	2350
307	1043	2345
308	1046	2340
309	1049	2335
310	1051	2330
311	1055	2326
312	1058	2322
313	1060	2317
314	1063	2313
315	1066	2309
316	1069	2305
317	1072	2301
318	1075	2296
319	1078	2292
320	1081	2287
321	1084	2283
322	1087	2278
323	1089	2274
324	1092	2269
325	1095	2264
326	1098	2260
327	1101	2256
328	1104	2252
329	1107	2247
330	1109	2243
331	1112	2238
332	1115	2233
333	1118	2229
334	1120	2225
335	1123	2220
336	1127	2217
337	1130	2214
338	1133	2209
339	1136	2205
340	1139	2202
341	1142	2197
342	1145	2193
343	1148	2189
344	1151	2186
345	1154	2182
346	1157	2177
347	1160	2173
348	1162	2169
349	1165	2164
350	1168	2159
351	1171	2155
352	1173	2151
353	1176	2147
354	1179	2143
355	1182	2138
356	1185	2135
357	1188	2130
358	1190	2126
359	1193	2122
360	1196	2118
361	1199	2114
362	1202	2110
363	1205	2105
364	1207	2101
365	1210	2097
366	1213	2093
367	1216	2090
368	1219	2086
369	1222	2082
370	1225	2078
371	1228	2073
372	1231	2069
373	1234	2065
374	1237	2061
375	1240	2058
376	1243	2054
377	1246	2051
378	1249	2046
379	1251	2042
380	1254	2038
381	1257	2034
382	1260	2030
383	1263	2027
384	1266	2023
385	1269	2019
386	1272	2014
387	1275	2011
388	1277	2007
389	1280	2003
390	1283	1998
391	1286	1995
392	1289	1991
393	1292	1987
394	1295	1983
395	1297	1979
396	1300	1975
397	1303	1971
398	1306	1967
399	1309	1964
400	1312	1960
401	1315	1956
402	1318	1952
403	1321	1949
404	1323	1945
405	1326	1940
406	1329	1937
407	1333	1934
408	1336	1930
409	1338	1926
410	1341	1922
411	1344	1919
412	1347	1915
413	1350	1911
414	1353	1908
415	1356	1904
416	1359	1900
417	1362	1896
418	1365	1892
419	1368	1889
420	1370	1885
421	1373	1881
422	1376	1878
423	1380	1874
424	1382	1870
425	1385	1866
426	1388	1863
427	1391	1859
428	1393	1855
429	1396	1851
430	1399	1847
431	1402	1844
432	1405	1840
433	1408	1837
434	1411	1833
435	1414	1829
436	1417	1826
437	1420	1822
438	1424	1819
439	1427	1816
440	1429	1812
441	1433	1809
442	1436	1805
443	1439	1802
444	1442	1798
445	1445	1795
446	1447	1791
447	1450	1787
448	1453	1783
449	1455	1779
450	1458	1775
451	1461	1772
452	1464	1768
453	1467	1765
454	1470	1761
455	1473	1757
456	1475	1753
457	1478	1749
458	1481	1745
459	1483	1741
460	1487	1739
461	1490	1736
462	1493	1732
463	1497	1729
464	1499	1725
465	1502	1721
466	1505	1718
467	1508	1715
468	1511	1711
469	1515	1708
470	1518	1705
471	1520	1701
472	1523	1697
473	1526	1694
474	1529	1690
475	1532	1686
476	1535	1683
477	1538	1679
478	1540	1675
479	1543	1672
480	1546	1668
481	1548	1664
482	1551	1660
483	1554	1657
484	1558	1654
485	1561	1651
486	1564	1648
487	1567	1644
488	1570	1641
489	1574	1638
490	1578	1636
491	1581	1632
492	1584	1629
493	1588	1626
494	1590	1623
495	1593	1619
496	1596	1615
497	1599	1612
498	1602	1608
499	1605	1605
500	1608	1601
501	1610	1597
502	1613	1594
503	1616	1591
504	1619	1587
505	1621	1583
506	1624	1580
507	1627	1576
508	1630	1572
509	1633	1569
510	1636	1565
511	1638	1562
512	1642	1558
513	1645	1555
514	1648	1552
515	1651	1548
516	1654	1545
517	1656	1541
518	1659	1538
519	1662	1534
520	1665	1531
521	1668	1527
522	1671	1524
523	1673	1520
524	1676	1516
525	1679	1513
526	1681	1509
527	1684	1506
528	1687	1502
529	1690	1499
530	1693	1495
531	1696	1492
532	1698	1488
533	1701	1485
534	1704	1481
535	1707	1477
536	1709	1474
537	1712	1470
538	1715	1467
539	1718	1463
540	1720	1460
541	1723	1456
542	1726	1453
543	1729	1449
544	1732	1446
545	1735	1442
546	1738	1439
547	1740	1435
548	1743	1432
549	1746	1428
550	1749	1425
551	1752	1422
552	1754	1418
553	1757	1415
554	1760	1411
555	1763	1408
556	1766	1404
557	1769	1401
558	1771	1397
559	1774	1394
560	1777	1391
561	1780	1387
562	1783	1384
563	1786	1381
564	1789	1377
565	1792	1374
566	1794	1370
567	1797	1367
568	1801	1364
569	1804	1361
570	1806	1357
571	1809	1354
572	1812	1350
573	1815	1347
574	1818	1343
575	1820	1340
576	1823	1336
577	1826	1333
578	1829	1330
579	1832	1327
580	1835	1323
581	1838	1320
582	1840	1316
583	1843	1313
584	1846	1309
585	1849	1306
586	1852	1303
587	1854	1299
588	1857	1296
589	1860	1292
590	1863	1289
591	1866	1286
592	1869	1282
593	1872	1279
594	1875	1276
595	1877	1272
596	1880	1269
597	1884	1266
598	1887	1263
599	1889	1259
600	1893	1256
601	1896	1253
602	1898	1250
603	1901	1246
604	1904	1243
605	1907	1239
606	1910	1236
607	1912	1233
608	1915	1229
609	1918	1226
610	1921	1223
611	1923	1219
612	1926	1216
613	1929	1212
614	1932	1209
615	1934	1206
616	1937	1202
617	1940	1199
618	1943	1196
619	1946	1192
620	1948	1189
621	1951	1185
622	1954	1182
623	1956	1179
624	1959	1175
625	1962	1172
626	1964	1168
627	1967	1165
628	1970	1162
629	1972	1158
630	1975	1155
631	1978	1152
632	1981	1148
633	1984	1145
634	1987	1142
635	1990	1139
636	1993	1135
637	1995	1132
638	1998	1129
639	2001	1125
640	2004	1122
641	2006	1119
642	2009	1115
643	2012	1112
644	2015	1109
645	2018	1106
646	2021	1102
647	2024	1099
648	2027	1096
649	2030	1093
650	2032	1089
651	2035	1086
652	2038	1083
653	2041	1080
654	2044	1076
655	2046	1073
656	2050	1070
657	2053	1067
658	2056	1063
659	2058	1060
660	2061	1057
661	2064	1054
662	2067	1050
663	2069	1047
664	2073	1044
665	2075	1041
666	2079	1037
667	2081	1034
668	2084	1031
669	2087	1028
670	2090	1025
671	2093	1022
672	2097	1018
673	2099	1015
674	2102	1012
675	2105	1009
676	2108	1005
677	2111	1002
678	2113	999
679	2116	995
680	2119	992
681	2121	989
682	2124	986
683	2127	982
684	2130	979
685	2132	976
686	2135	973
687	2138	969
688	2141	966
689	2144	963
690	2147	960
691	2150	957
692	2153	953
693	2156	950
694	2159	947
695	2161	944
696	2165	941
697	2167	937
698	2170	934
699	2173	931
700	2176	928
701	2180	925
702	2184	922
703	2187	919
704	2190	916
705	2192	912
706	2194	909
707	2197	906
708	2200	903
709	2203	899
710	2205	896
711	2209	893
712	2212	890
713	2215	887
714	2218	884
715	2221	881
716	2223	877
717	2226	874
718	2230	871
719	2233	868
720	2236	865
721	2238	862
722	2241	858
723	2244	855
724	2247	852
725	2250	849
726	2253	846
727	2256	842
728	2259	839
729	2262	836
730	2264	833
731	2267	830
732	2270	826
733	2273	823
734	2276	820
735	2279	817
736	2282	814
737	2284	811
738	2287	808
739	2290	804
740	2293	801
741	2296	798
742	2300	795
743	2302	792
744	2305	789
745	2308	786
746	2311	782
747	2314	779
748	2317	776
749	2320	773
750	2323	770
751	2326	767
752	2329	764
753	2332	760
754	2335	757
755	2337	754
756	2340	751
757	2343	748
758	2346	745
759	2349	742
760	2352	738
761	2355	735
762	2358	732
763	2361	729
764	2364	726
765	2367	723
766	2370	720
767	2373	716
768	2376	713
769	2378	710
770	2381	707
771	2384	704
772	2387	701
773	2390	697
774	2393	694
775	2395	691
776	2398	688
777	2401	685
778	2404	682
779	2407	678
780	2409	675
781	2412	672
782	2415	669
783	2418	666
784	2421	663
785	2423	659
786	2426	656
787	2429	653
788	2431	650
789	2435	647
790	2437	644
791	2440	640
792	2443	637
793	2445	634
794	2448	631
795	2451	628
796	2454	625
797	2458	622
798	2461	619
799	2463	615
800	2466	612
801	2469	609
802	2472	606
803	2475	603
804	2478	600
805	2481	597
806	2484	594
807	2488	591
808	2491	588
809	2493	584
810	2496	581
811	2499	578
812	2502	575
813	2505	572
814	2508	569
815	2511	566
816	2514	563
817	2516	559
818	2519	556
819	2522	553
820	2525	550
821	2528	547
822	2531	544
823	2534	541
824	2536	538
825	2539	535
826	2543	532
827	2546	529
828	2550	525
829	2552	522
830	2555	519
831	2558	516
832	2561	513
833	2564	510
834	2567	507
835	2570	504
836	2573	501
837	2576	498
838	2579	494
839	2581	491
840	2584	488
841	2587	485
842	2590	482
843	2593	479
844	2596	476
845	2599	473
846	2602	470
847	2605	467
848	2608	463
849	2611	460
850	2613	457
851	2617	454
852	2619	451
853	2623	448
854	2625	445
855	2628	442
856	2631	439
857	2634	436
858	2637	432
859	2640	429
860	2643	426
861	2646	423
862	2649	420
863	2652	417
864	2655	414
865	2657	411
866	2660	408
867	2663	405
868	2667	402
869	2669	398
870	2672	395
871	2675	392
872	2678	389
873	2681	386
874	2684	383
875	2687	380
876	2689	377
877	2692	374
878	2696	371
879	2698	368
880	2701	364
881	2704	361
882	2707	358
883	2710	355
884	2713	352
885	2716	349
886	2719	346
887	2722	343
888	2725	340
889	2728	337
890	2732	334
891	2735	331
892	2738	328
893	2741	325
894	2744	321
895	2747	318
896	2749	315
897	2753	312
898	2756	309
899	2759	306
900	2762	303
901	2765	300
902	2768	297
903	2771	294
904	2774	291
905	2776	288
906	2780	285
907	2783	281
908	2785	278
909	2788	275
910	2791	272
911	2793	269
912	2797	266
913	2799	263
914	2802	260
915	2805	257
916	2808	254
917	2811	251
918	2814	248
919	2816	244
920	2819	241
921	2822	238
922	2825	235
923	2828	232
924	2831	229
925	2833	226
926	2837	223
927	2841	220
928	2844	217
929	2847	214
930	2850	211
931	2853	208
932	2856	205
933	2859	202
934	2862	198
935	2865	195
936	2868	192
937	2871	189
938	2874	186
939	2878	183
940	2881	180
941	2884	177
942	2887	174
943	2889	171
944	2892	168
945	2895	165
946	2899	162
947	2902	159
948	2905	156
949	2909	153
950	2911	150
951	2915	146
952	2918	143
953	2921	140
954	2924	137
955	2927	134
956	2931	131
957	2934	128
958	2937	125
959	2940	122
960	2943	119
961	2946	116
962	2950	113
963	2953	110
964	2956	107
965	2959	104
966	2962	101
967	2965	98
968	2968	94
969	2971	91
970	2974	88
971	2977	85
972	2980	82
973	2983	79
974	2986	76
975	2990	73
976	2993	70
977	2996	67
978	2999	64
979	3002	61
980	3005	58
981	3008	55
982	3011	52
983	3014	49
984	3017	45
985	3020	42
986	3023	39
987	3026	36
988	3029	33
989	3032	30
990	3035	27
991	3038	24
992	3042	21
993	3045	18
994	3048	15
995	3051	12
996	3055	9
997	3058	6
998	3061	3
999	3065	0
